DATE,DBS_Return,SPH_Return,GE_Return,SIA_Return
7/1/2008,-0.0479,0.0223,-0.0116,0.0079
8/1/2008,-0.0719,-0.034,-0.1229,-0.0657
9/1/2008,-0.3433,-0.196,-0.3182,-0.2208
10/1/2008,-0.1289,0.1094,-0.0754,-0.0433
11/1/2008,0.0392,-0.0704,0.0709,0.0827
12/1/2008,0.0475,-0.0965,-0.0883,-0.0107
1/1/2009,-0.1111,-0.032,-0.0375,-0.0862
2/1/2009,0.0778,-0.0698,0.0226,-0.0177
3/1/2009,0.1408,0.1739,0.0517,0.07
4/1/2009,0.2568,0.0207,0.1859,0.1682
5/1/2009,0,0.0676,0.0593,0.064
6/1/2009,0.1763,0.1361,0.3454,0.015
7/1/2009,-0.0792,0.0195,-0.0416,0.1042
8/1/2009,0.0506,0.0546,0.0044,0.0715
9/1/2009,-0.0166,0.0026,-0.0309,-0.0131
10/1/2009,0.1072,-0.0362,0.0379,-0.0221
11/1/2009,0.0754,0.0322,-0.0102,0.1233
12/1/2009,-0.0727,0.0082,-0.0251,-0.075
1/1/2010,-0.0196,0.0027,0.0667,0.0767
2/1/2010,0.0214,0.0296,0.108,0.0215
3/1/2010,0.0699,0.0811,0.0263,0
4/1/2010,-0.0667,-0.0872,0.0307,-0.0513
5/1/2010,-0.0229,0.0243,0.0768,0.0125
6/1/2010,0.0526,0.0897,-0.0437,0.0781
7/1/2010,-0.0264,-0.0121,-0.0337,-0.0333
8/1/2010,0.0144,0.0417,-0.0213,0.0808
9/1/2010,-0.0128,-0.0235,0.023,-0.0306
10/1/2010,0.0072,0.0096,-0.0188,-0.0126
11/1/2010,0.0229,-0.0024,-0.0038,-0.0078
12/1/2010,0.0489,-0.0025,0.0038,-0.0353
1/1/2011,-0.0559,-0.0227,0.0013,-0.0772
2/1/2011,0.0324,0.0155,-0.0306,0.0044
3/1/2011,0.0232,0.0102,0.0171,0.0292
4/1/2011,0.0067,-0.0126,0.0123,0.0057
5/1/2011,-0.0095,0.0104,-0.0107,0.0014
6/1/2011,0.0593,0.0103,0.0068,-0.0014
7/1/2011,-0.1288,-0.0355,-0.1307,-0.1356
8/1/2011,-0.1064,-0.0105,-0.0312,0.0353
9/1/2011,0.0439,0.0372,0.0484,0.0254
10/1/2011,0.0032,0.0026,-0.0115,-0.116
11/1/2011,-0.071,-0.0128,-0.0195,-0.0097
12/1/2011,0.1762,0.0054,0.0754,0.0925
1/1/2012,0.048,0.0216,0.0133,-0.0072
2/1/2012,-0.0014,0.0343,0.0124,-0.0227
3/1/2012,-0.0155,0.0128,-0.0108,-0.0065
4/1/2012,-0.033,-0.0302,-0.0512,-0.028
5/1/2012,0.0492,0.0317,-0.0031,-0.0029
6/1/2012,0.0627,0.0538,0.0988,0.0318
7/1/2012,-0.0007,-0.0341,-0.0057,0.0047
8/1/2012,-0.0042,0.0252,0.1005,0.0084
9/1/2012,-0.0341,-0.0074,0.0578,-0.013
10/1/2012,0.0396,0.0346,-0.0534,0.016
11/1/2012,0.027,0.0048,0.0276,0.0037
12/1/2012,0.0081,0.0174,0.0836,0.0223
1/1/2013,0.01,0.0195,0.0619,-0.0091
2/1/2013,0.0589,0.0718,-0.0017,-0.0018
3/1/2013,0.0475,-0.0045,0.0161,0.0212
4/1/2013,0.0406,-0.0269,0.0299,-0.0324
5/1/2013,-0.0967,-0.0234,-0.046,-0.0559
6/1/2013,0.0774,0.0528,-0.0075,0.0138
7/1/2013,-0.0371,-0.0638,-0.0295,-0.0633
8/1/2013,0.0392,0.0458,0.0216,0.1024
9/1/2013,0.0195,0.0341,0.0628,-0.001
10/1/2013,0.0263,0.0024,-0.0066,0.0125
11/1/2013,-0.0047,0.0023,-0.01,-0.0048
12/1/2013,-0.0368,-0.0316,-0.0146,-0.0788
1/1/2014,0.003,0.0401,0.0336,0.0657
2/1/2014,-0.0212,0.0121,0.0309,0.0245
3/1/2014,0.0476,-0.0024,0.0396,-0.0086
4/1/2014,0.0153,-0.0048,0.1468,0.0029
5/1/2014,-0.0089,0.0171,0.0041,-0.0038
6/1/2014,0.0878,-0.0048,0.048,-0.0039
7/1/2014,-0.0011,0,0.007,0.0126
8/1/2014,0.0279,0.0121,0.0391,-0.0257
9/1/2014,0.0033,0.019,0.0046,0.0061
10/1/2014,0.0731,0.0023,-0.0012,0.0939
11/1/2014,0.0388,0.014,0.0008,0.0761
12/1/2014,-0.0393,-0.019,0.0088,0.0905
1/1/2015,-0.0111,-0.0097,0.0322,-0.0514
2/1/2015,0.0404,0.0244,-0.0032,-0.0042
